"Data" "POSTO" "LAT" "LONG" "Umidmin" "Chuva" "FONTE" "Longitude" "Latitude" "optional"
"57" 2019-08-26 "São Simão" -18.96914 -50.63344 13 0 "Inmet" -50.63344 -18.96914 TRUE
"58" 2019-08-27 "São Simão" -18.96914 -50.63344 23 0 "Inmet" -50.63344 -18.96914 TRUE
"59" 2019-08-28 "São Simão" -18.96914 -50.63344 23 0 "Inmet" -50.63344 -18.96914 TRUE
"60" 2019-08-29 "São Simão" -18.96914 -50.63344 21 0 "Inmet" -50.63344 -18.96914 TRUE
"61" 2019-08-30 "São Simão" -18.96914 -50.63344 20 0 "Inmet" -50.63344 -18.96914 TRUE
"62" 2019-08-31 "São Simão" -18.96914 -50.63344 16 0 "Inmet" -50.63344 -18.96914 TRUE
"63" 2019-09-01 "São Simão" -18.96914 -50.63344 20 0.4 "Inmet" -50.63344 -18.96914 TRUE
"64" 2019-09-02 "São Simão" -18.96914 -50.63344 28 0 "Inmet" -50.63344 -18.96914 TRUE
"65" 2019-09-03 "São Simão" -18.96914 -50.63344 21 0 "Inmet" -50.63344 -18.96914 TRUE
"66" 2019-09-04 "São Simão" -18.96914 -50.63344 15 0 "Inmet" -50.63344 -18.96914 TRUE
"67" 2019-09-05 "São Simão" -18.96914 -50.63344 14 0 "Inmet" -50.63344 -18.96914 TRUE
"68" 2019-09-06 "São Simão" -18.96914 -50.63344 14 0 "Inmet" -50.63344 -18.96914 TRUE
"69" 2019-09-07 "São Simão" -18.96914 -50.63344 20 0 "Inmet" -50.63344 -18.96914 TRUE
"70" 2019-09-08 "São Simão" -18.96914 -50.63344 17 0 "Inmet" -50.63344 -18.96914 TRUE
"71" 2019-09-09 "São Simão" -18.96914 -50.63344 17 0 "Inmet" -50.63344 -18.96914 TRUE
"72" 2019-09-10 "São Simão" -18.96914 -50.63344 16 0 "Inmet" -50.63344 -18.96914 TRUE
"73" 2019-09-11 "São Simão" -18.96914 -50.63344 13 0 "Inmet" -50.63344 -18.96914 TRUE
"74" 2019-09-12 "São Simão" -18.96914 -50.63344 11 0 "Inmet" -50.63344 -18.96914 TRUE
"75" 2019-09-13 "São Simão" -18.96914 -50.63344 11 0 "Inmet" -50.63344 -18.96914 TRUE
"76" 2019-09-14 "São Simão" -18.96914 -50.63344 11 0 "Inmet" -50.63344 -18.96914 TRUE
"77" 2019-09-15 "São Simão" -18.96914 -50.63344 11 0 "Inmet" -50.63344 -18.96914 TRUE
"78" 2019-09-16 "São Simão" -18.96914 -50.63344 10 0 "Inmet" -50.63344 -18.96914 TRUE
"79" 2019-09-17 "São Simão" -18.96914 -50.63344 10 0 "Inmet" -50.63344 -18.96914 TRUE
"80" 2019-09-18 "São Simão" -18.96914 -50.63344 12 0 "Inmet" -50.63344 -18.96914 TRUE
"81" 2019-09-19 "São Simão" -18.96914 -50.63344 13 0.2 "Inmet" -50.63344 -18.96914 TRUE
"82" 2019-09-20 "São Simão" -18.96914 -50.63344 18 0 "Inmet" -50.63344 -18.96914 TRUE
"83" 2019-09-21 "São Simão" -18.96914 -50.63344 24 0 "Inmet" -50.63344 -18.96914 TRUE
"84" 2019-09-22 "São Simão" -18.96914 -50.63344 30 0 "Inmet" -50.63344 -18.96914 TRUE
"85" 2019-09-23 "São Simão" -18.96914 -50.63344 24 0 "Inmet" -50.63344 -18.96914 TRUE
"86" 2019-09-24 "São Simão" -18.96914 -50.63344 21 0 "Inmet" -50.63344 -18.96914 TRUE
"87" 2019-09-25 "São Simão" -18.96914 -50.63344 31 14.4 "Inmet" -50.63344 -18.96914 TRUE
"88" 2019-09-26 "São Simão" -18.96914 -50.63344 71 4.4 "Inmet" -50.63344 -18.96914 TRUE
"89" 2019-09-27 "São Simão" -18.96914 -50.63344 39 0.2 "Inmet" -50.63344 -18.96914 TRUE
"90" 2019-09-28 "São Simão" -18.96914 -50.63344 27 0 "Inmet" -50.63344 -18.96914 TRUE
"91" 2019-09-29 "São Simão" -18.96914 -50.63344 26 0 "Inmet" -50.63344 -18.96914 TRUE
"92" 2019-09-30 "São Simão" -18.96914 -50.63344 18 0 "Inmet" -50.63344 -18.96914 TRUE
"93" 2019-07-01 "Cassilândia" -19.12247 -51.72073 27 0 "Inmet" -51.72073 -19.12247 TRUE
"94" 2019-07-02 "Cassilândia" -19.12247 -51.72073 22 0 "Inmet" -51.72073 -19.12247 TRUE
"95" 2019-07-03 "Cassilândia" -19.12247 -51.72073 28 0 "Inmet" -51.72073 -19.12247 TRUE
"96" 2019-07-04 "Cassilândia" -19.12247 -51.72073 49 0 "Inmet" -51.72073 -19.12247 TRUE
"97" 2019-07-05 "Cassilândia" -19.12247 -51.72073 65 0.6 "Inmet" -51.72073 -19.12247 TRUE
"98" 2019-07-06 "Cassilândia" -19.12247 -51.72073 20 0 "Inmet" -51.72073 -19.12247 TRUE
"99" 2019-07-07 "Cassilândia" -19.12247 -51.72073 19 0 "Inmet" -51.72073 -19.12247 TRUE
"100" 2019-07-08 "Cassilândia" -19.12247 -51.72073 26 0 "Inmet" -51.72073 -19.12247 TRUE
"101" 2019-07-09 "Cassilândia" -19.12247 -51.72073 23 0 "Inmet" -51.72073 -19.12247 TRUE
"102" 2019-07-10 "Cassilândia" -19.12247 -51.72073 22 0 "Inmet" -51.72073 -19.12247 TRUE
"103" 2019-07-11 "Cassilândia" -19.12247 -51.72073 20 0 "Inmet" -51.72073 -19.12247 TRUE
"104" 2019-07-12 "Cassilândia" -19.12247 -51.72073 20 0 "Inmet" -51.72073 -19.12247 TRUE
